Año,Física,Química,Fisiología o Medicina,Literatura,Paz,Premio en Ciencias Económicas en memoria de Alfred Nobel
1977,Philip Warren Anderson; Sir Nevill F. Mott; John H. van Vleck,Ilya Prigogine,Roger Guillemin; Andrew Schally; Rosalyn Sussman Yalow,Vicente Aleixandre,Amnistía Internacional,Bertil Ohlin; James Meade
1978,Piotr Kapitsa; Arno Penzias; Robert Woodrow Wilson,Peter D. Mitchell,Werner Arber; Daniel Nathans; Hamilton O. Smith,Isaac Bashevis Singer,Anwar El Sadat; Menachem Begin,Herbert Simon
1979,Sheldon Glashow; Abdus Salam; Steven Weinberg,Herbert C. Brown; Georg Wittig,Allan McLeod Cormack; Godfrey Hounsfield,Odysseas Elytis,Teresa de Calcuta,Theodore Schultz; Arthur Lewis
1980,James Cronin; Val Fitch,Paul Berg; Walter Gilbert; Frederick Sanger,Baruj Benacerraf; Jean Dausset; George Davis Snell,Czesław Miłosz,Adolfo Pérez Esquivel,Lawrence Klein
1981,Nicolaas Bloembergen; Arthur L. Schawlow; Kai M. Siegbahn,Kenichi Fukui; Roald Hoffmann,Roger W. Sperry; David H. Hubel; Torsten N. Wiesel,Elias Canetti,Alto Comisionado de las Naciones Unidas para y los Refugiados,James Tobin
1982,Kenneth G. Wilson,Aaron Klug,Sune Bergström; Bengt I. Samuelsson; John Robert Vane,Gabriel García Márquez,Alva Myrdal; Alfonso García Robles,George Stigler
1983,Subramanyan Chandrasekhar; William A. Fowler,Henry Taube,Barbara McClintock,William Golding,Lech Wałęsa,Gérard Debreu
1984,Carlo Rubbia; Simon van der Meer,Robert Bruce Merrifield,Niels Kai Jerne; Georges J. F. Köhler; César Milstein,Jaroslav Seifert,Desmond Tutu,Richard Stone
1985,Klaus von Klitzing,Herbert A. Hauptman; Jerome Karle,Michael Stuart Brown; Joseph L. Goldstein,Claude Simon,Asociación Internacional de Médicos para la Prevención de la Guerra Nuclear,Franco Modigliani
1986,Ernst Ruska; Gerd Binnig; Heinrich Rohrer,Dudley R. Herschbach; Yuan T. Lee; John C. Polanyi,Stanley Cohen; Rita Levi-Montalcini,Wole Soyinka,Elie Wiesel,James M. Buchanan
1987,J. Georg Bednorz; K. Alex Müller,Donald J. Cram; Jean-Marie Lehn; Charles J. Pedersen,Susumu Tonegawa,Joseph Brodsky,Óscar Arias,Robert Solow
1988,Leon M. Lederman; Melvin Schwartz; Jack Steinberger,Johann Deisenhofer; Robert Huber; Hartmut Michel,James W. Black; Gertrude B. Elion; George H. Hitchings,Naguib Mahfouz,Fuerzas de paz de las Naciones Unidas,Maurice Allais
1989,Norman F. Ramsey; Hans G. Dehmelt; Wolfgang Paul,Sidney Altman; Thomas Cech,J. Michael Bishop; Harold E. Varmus,Camilo José Cela,"Tenzin Gyatso, el XIV Dalái Lama",Trygve Haavelmo
1990,Jerome I. Friedman; Henry W. Kendall; Richard E. Taylor,Elias James Corey,Joseph Murray; E. Donnall Thomas,Octavio Paz,Mijaíl Gorbachov,Harry Markowitz; Merton Miller; William Forsyth Sharpe
